Fips_Code,County,Cox,Moore,Lashar,Wallace,Harding,Write-ins,total_votes,pct_moore
24001,Allegany,13833,6390,279,143,267,0,20645,31
24003,Anne Arundel,72806,83643,3446,948,1247,0,160843,52
24510,Baltimore City,11140,107563,1237,1180,1391,0,121120,88.8
24005,Baltimore County,76242,117356,3636,1482,2200,0,198716,59.1
24009,Calvert,18447,14236,504,142,242,0,33329,42.7
24011,Caroline,6727,3276,176,56,140,0,10235,32
24013,Carroll,38969,25155,1515,436,561,0,66075,38.1
24015,Cecil,18159,8691,472,155,311,0,27477,31.6
24017,Charles,15096,33633,408,283,414,0,49420,68.1
24019,Dorchester,6169,4341,139,69,157,0,10718,40.5
24021,Frederick,40178,38581,1456,468,606,0,80683,47.8
24023,Garrett,8195,2402,194,52,138,0,10843,22.2
24025,Harford,51065,38139,1948,598,886,0,91750,41.6
24027,Howard,33110,83690,2464,802,713,0,120066,69.7
24029,Kent,3718,4256,106,56,93,0,8136,52.3
24031,Montgomery,54968,191695,3013,2146,1551,0,251822,76.1
24033,Prince George's,16903,161692,999,1593,1888,0,181187,89.2
24035,Queen Anne's,12840,8577,416,120,212,0,21953,39.1
24037,Saint Mary's,20279,13291,661,253,346,0,34484,38.5
24039,Somerset,3974,2254,67,46,81,0,6341,35.5
24041,Talbot,7497,7989,289,70,128,0,15845,50.4
24043,Washington,26943,15723,614,252,472,0,43532,36.1
24045,Wicomico,14612,12213,388,171,358,0,27384,44.6
24047,Worcester,13433,8550,273,121,161,0,22377,38.2
